id_fkt,fkt,firaisana,distrika
107290008,Ambatofotsy,Androvakely,Anjozorobe
115032003,Ambatofotsy,Andohariana,Andramasina
102390009,Ambatofolaka,Anjeva Gara,Antananarivo Avaradrano
106390010,Ambatofisaorana,Sadabe,Manjakandriana
103150030,Ambatofamamba,Mahitsy,Ambohidratrimo
101005010,Ambatobe,5e Arrondissement,5e Arrondissement
103150012,Ambatobe,Mahitsy,Ambohidratrimo
103190004,Ambatobe,Ampangabe,Ambohidratrimo
106272004,Ambatobe,Antsahalalina,Manjakandriana
107270005,Ambatobe,Amboasary Nord,Anjozorobe
107211002,Ambatoasana,Antanetibe,Anjozorobe
103390001,Ambato,Ambato,Ambohidratrimo
106090011,Ambato,Alarobia,Manjakandriana
107250006,Ambato,Amparatanjona,Anjozorobe
117370004,Ambarindehilahy,Ampahitrosy,Antananarivo Atsimondrano
103210009,Ambaribe,Ampanotokana,Ambohidratrimo
101006008,Ambaravarankazo,6e Arrondissement,6e Arrondissement
104130006,Ambararata,Fiadanana,Ankazobe
117330004,Ambanivohitra,Soavina,Antananarivo Atsimondrano
106210001,Ambanitsena,Ambanitsena,Manjakandriana
101004014,Ambanin'ampamarinana,4e Arrondissement,4e Arrondissement
103350010,Ambanimaso,Antanetibe,Ambohidratrimo
103390013,Ambanimaso,Ambato,Ambohidratrimo
117012005,Ambanimaso,Anosizato Andrefana,Antananarivo Atsimondrano
117030004,Ambanilalana,Andranonahoatra,Antananarivo Atsimondrano
106390017,Ambanilakandrano,Sadabe,Manjakandriana
117311009,Ambaniavaratra Ankadivory,Fenoarivo,Antananarivo Atsimondrano
117030006,Ambaniala,Andranonahoatra,Antananarivo Atsimondrano
101001002,Ambalavao Isotry,1er Arrondissement,1er Arrondissement
115010006,Ambalavao Firaisana,Andramasina,Andramasina
117450001,Ambalavao,Ambalavao,Antananarivo Atsimondrano
117470007,Ambalatokana,Ambatofahavalo,Antananarivo Atsimondrano
102350002,Ambahona,Viliahazo,Antananarivo Avaradrano
106310007,Ambahinia,Merikanjaka,Manjakandriana
105130035,Alatsinainy Loharano,Imerintsiatosika,Arivonimamo
115071001,Alatsinainy Bakaro,Alatsinainy Bakaro,Andramasina
103171010,Alatsinainy,Merimandroso,Ambohidratrimo
102010001,Alasora,Alasora,Antananarivo Avaradrano
115110001,Alarobia Vatosola,Alarobia Vatosola,Andramasina
101005005,Alarobia Amboniloha,5e Arrondissement,5e Arrondissement
103230005,Alarobia,Mananjara,Ambohidratrimo
106090001,Alarobia,Alarobia,Manjakandriana
107170001,Alakamisy,Alakamisy,Anjozorobe
117030002,Akany Sambatra,Andranonahoatra,Antananarivo Atsimondrano
117030005,Akany Firaisana,Andranonahoatra,Antananarivo Atsimondrano
101001034,67ha Avaratra Atsinanana,1er Arrondissement,1er Arrondissement
101001033,67ha Avaratra Andrefana,1er Arrondissement,1er Arrondissement
101001032,67ha Atsimo,1er Arrondissement,1er Arrondissement
101001031,67ha Afovoany Andrefana,1er Arrondissement,1er Arrondissement
